County,Year,Gas_Produced_MCF,Liquid_Produced_BBL,Water_Produced_BBL
ANDERSON,2010,4996766,872417,6776845
ANDERSON,2011,5020877,903557,7452811
ANDERSON,2012,3830452,910446,7307639
ANDERSON,2013,3036578,936410,7618104
ANDERSON,2014,2689721,954671,6593208
ANDERSON,2015,2835264,867349,6363905
ANDERSON,2016,2681387,793184,6712484
ANDERSON,2017,2325179,752377,6786604
ANDERSON,2018,2386560,815369,7457624
ANDERSON,2019,1987116,755861,7405007
ANDERSON,2020,1713404,670456,5994081
ANDERSON,2021,1789387,612790,5479470
ANDERSON,2022,1594182,619602,5698776
ANDERSON,2023,1637390,715889,5772127
ANDERSON,2024,1307915,618886,5162997
ANDERSON,2025,362868,58209,266768
ANDREWS,2010,1846423,25812456,145075371
ANDREWS,2011,1358043,28915592,143485351
ANDREWS,2012,940279,33444730,161495604
ANDREWS,2013,717161,34653258,171500214
ANDREWS,2014,636880,37706541,164306734
ANDREWS,2015,955020,37892048,159300767
ANDREWS,2016,3328752,37329068,165540373
ANDREWS,2017,4277446,37732498,171722422
ANDREWS,2018,5291183,42740657,175143719
ANDREWS,2019,8283849,40140652,186676193
ANDREWS,2020,8277924,37789669,170087343
ANDREWS,2021,7110400,44671338,165424725
ANDREWS,2022,7069133,48407357,169670075
ANDREWS,2023,11623542,58340453,164192282
ANDREWS,2024,10701678,54310466,163200333
ANDREWS,2025,3176950,2124384,22553302
ANGELINA,2010,10844751,14724,771630
ANGELINA,2011,7974046,8778,1002441
ANGELINA,2012,11279899,6376,1189366
ANGELINA,2013,9125682,6285,1090609
ANGELINA,2014,5825454,4861,871581
ANGELINA,2015,4919806,4428,966459
ANGELINA,2016,6446160,6502,960275
ANGELINA,2017,16105681,5633,557097
ANGELINA,2018,49502106,4881,1304521
ANGELINA,2019,96124786,4088,3112743
ANGELINA,2020,83318801,2687,2396033
ANGELINA,2021,37227746,2941,950088
ANGELINA,2022,66594659,2977,767660
ANGELINA,2023,94574301,3457,898708
ANGELINA,2024,105509726,3115,748855
ANGELINA,2025,40924271,1854,163394
ARANSAS,2010,6936466,246477,1818827
ARANSAS,2011,5313967,235222,516980
ARANSAS,2012,5046435,229499,532567
ARANSAS,2013,5394860,210838,480778
ARANSAS,2014,9972915,319593,687363
ARANSAS,2015,12724959,358237,774869
ARANSAS,2016,8652230,312741,704371
ARANSAS,2017,6159920,242485,384923
ARANSAS,2018,4765674,167502,461270
ARANSAS,2019,3308943,122246,339714
ARANSAS,2020,2948734,135266,349005
ARANSAS,2021,2411747,121972,413757
ARANSAS,2022,1899086,82409,221256
ARANSAS,2023,1587021,62484,359096
ARANSAS,2024,1563661,37239,276953
ARANSAS,2025,335142,7054,42709
ARCHER,2010,17057,1035765,9377545
ARCHER,2011,16000,1093489,10698855
ARCHER,2012,13915,1146663,10848149
ARCHER,2013,10413,1254319,12328726
ARCHER,2014,9439,1290863,15160883
ARCHER,2015,18844,1138327,12489175
ARCHER,2016,21664,993337,10209310
ARCHER,2017,18307,925054,9506303
ARCHER,2018,15700,892348,9651310
ARCHER,2019,16047,878630,8778045
ARCHER,2020,13927,756308,7442137
ARCHER,2021,15003,733475,7451698
ARCHER,2022,12429,738488,7055782
ARCHER,2023,13047,788308,7203598
ARCHER,2024,12128,833292,7352661
ARCHER,2025,4067,165512,1800870
