COUNTY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ANDERSON,45655.0,0.0,33600.0,102087.0,12086170.0,851149.0,141200.0,182837.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0
ANDREWS,271081464.8,449975213.27,628661510.014331,824559543.6692127,988185861.7286105,968338636.2592412,809485148.7396321,1290238503.5989337,1331043907.0861716,1680540480.069951,2169029157.5668545,2565569288.8,2599343708.77,3033142524.4088836,3655017025.551359,1183500835.9143064
ANGELINA,8223452.0,1178040.0,9810000.0,5525863.0,0.0,11220451.0,468614.0,22135348.0,212294890.0,154868977.64394045,23075311.0,68891234.0,264943721.0,359784279.0,518149282.455918,280906552.0
ARANSAS,276000.0,0.0,0.0,268086.0,896089.0,1187093.0,351986.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCHER,301636.0,3582842.0,2561319.098019554,2601741.11,995003.0,402274.0,41618.0,181264.0,488343.08999999997,286824.0,59076.630000000005,193909.0,570050.0,571713.0,637313.0,660866.0
ARMSTRONG,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATASCOSA,110853118.51019827,485852707.91,863929386.6608782,1027621268.494649,2085478178.317657,1360237399.48,827808447.9,865071962.0256644,1350037104.6703455,1470334010.0031652,1141535978.2237124,601842529.5239652,1121522890.42,2749332765.0,2925698106.3729687,1289103015.59
AUSTIN,15000.0,0.0,2489727.0,770.0,31668.0,101802.0,50000.0,18018.0,0.0,30872590.42798,15046676.0,0.0,20913130.0,91182262.0,46035150.0,0.0
BAILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANDERA,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASTROP,93110.0,191524.0,278174.0,637582.0,18020823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYLOR,0.0,16240.0,835128.0,349417.0,1542370.6,1650724.0,5000.0,500.0,0.0,4000.0,0.0,1250.0,12723.0,0.0,79901.0,54300.0
BEE,9444632.0,20820801.0,69048759.42,9290621.0,38136004.0,8289482.0,51412.0,0.0,0.0,10975094.058353892,2000.0,0.0,49568041.0,14134770.0,199566091.69888476,44273123.0
BELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEXAR,23100.0,0.0,110000.0,841320.0,212320.0,287110.0,149000.0,186983.0,100000.0,0.0,0.0,0.0,580564.0,0.0,0.0,0.0
BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORDEN,5225957.0,5582059.0,21607375.0,45086464.0,64096113.73911701,2649660.0,33271207.0,227568521.0,608992517.8079015,578372538.1751255,126676332.0,287054809.63,468371501.8812057,1037712564.44057,1180331202.0271156,351478647.93591875
BOSQUE,0.0,0.0,0.0,1671048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOWIE,2792502.973475715,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8526.0,0.0
BRAZORIA,1328102.0,363373.0,707568.0,1090088.0,0.0,12108.0,0.0,0.0,220864.0,0.0,0.0,3500.0,500.0,0.0,0.0,0.0
BRAZOS,52402953.40764656,33428692.372520205,83471332.85726577,506082729.03598064,733400208.9189911,686775408.3548248,155753210.0,187476927.54305372,640487697.7259414,818314406.0,390605610.0,86359403.0,302900098.0,171212036.0,84185562.0,0.0
BREWSTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRISCOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROOKS,5757894.0,5568688.0,3945021.0,6271754.0,5547393.0,1666544.0,2991644.0,4326627.0,1890023.0,3092327.0,0.0,344813.0,677684.0,0.0,0.0,0.0
BROWN,27750.0,83722.0,32892.0,12370.0,21950.0,83463.0,0.0,2000.0,0.0,500.0,0.0,200.0,0.0,0.0,0.0,0.0
BURLESON,39030493.44760213,25985173.822131842,15952076.422116758,115488178.57650156,713255128.8085896,963975517.0621334,456192514.3938706,1583156411.5098305,1922730492.5395749,1600346052.3774214,632632172.6894646,144598200.0,289275586.0,203489200.0,341469647.4766267,64937948.07
BURNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALDWELL,8792591.019428179,19536945.909810893,46528193.30969507,17419772.345549773,27542616.442461252,765200.3072100313,6930355.254876906,13613679.20528714,19578790.07127556,8562709.863832533,9161826.120909773,0.0,0.0,0.0,0.0,0.0
CALHOUN,0.0,0.0,0.0,79000.0,0.0,508762.0,785020.0,377454.0,20816.0,25116.0,0.0,0.0,0.0,0.0,0.0,0.0
CALLAHAN,68794.0,31100.0,8159.0,156210.0,8650.0,363934.0,2950.0,15648.0,69354.0,30342.0,1000.0,33260.0,82900.0,0.0,5250.0,0.0
CAMERON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMP,7712.0,0.0,6520.0,750.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0
CARSON,302330.0,22909649.697591726,4182842.6194943967,8795953.91025986,20224416.86754345,983000.0,0.0,569226.0,119420.0,809434.0,0.0,0.0,0.0,0.0,0.0,0.0
CASS,8500.0,320800.0,1533221.0,3998018.0,6438072.0,516399.0,11407895.0,137273.0,2479710.0,2239734.0,1462988.29,5144190.24,39739143.18,308010145.0,901586865.9579532,19937500.0
CASTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAMBERS,2125.0,5500.0,30000.0,7820.0,577981.0,706600.0,757783.0,0.0,0.0,0.0,9870.0,5460.0,0.0,0.0,0.0,0.0
CHEROKEE,11299898.0,3253122.0,5729085.0,14491331.0,55497267.0,14533063.0,54782855.0,60794486.0,57295764.0,18780582.86992003,8330548.0,8982220.0,31373285.29,25588374.0,44616054.0,0.0
CHILDRESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY,373102.0,56646.0,25924345.0,2510331.0,27139917.0,8185711.975084938,5499771.0,13658.0,139453.0,217096.0,8675848.576762151,121002.0,109881.0,152076.0,77740.8,30717610.0
COCHRAN,951004.0,4880624.017097178,2924154.0,1507186.0,19622813.60174918,14832546.239664469,122578.0,63508185.64792507,22570508.00555449,49726329.7144048,105576.42,22775904.0,63177770.0,0.0,60602560.700401984,0.0
COKE,1241588.0,820918.0,977290.0,24027578.0,1366100.3,50282.0,13460.0,8850.0,3500.0,9500.0,1500.0,750.0,28741.0,0.0,20381226.0,0.0
COLEMAN,76150.0,128081.0,146289.0,220215.0,67896.0,61090.0,14384.0,27800.0,57600.0,19710.0,17850.0,13658.0,3058610.611248832,10268.0,45492.0,0.0
COLLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINGSWORTH,0.0,0.0,225632.0,96000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLORADO,329550.0,398316.0,15750.0,603070.0,570564.0,216316.0,69128.0,4381462.0,16016192.0,1725.0,0.0,23668.0,0.0,17158470.0,0.0,0.0
COMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMANCHE,2750.0,6250.0,3500.0,0.0,5750.0,7500.0,3500.0,2000.0,1250.0,1500.0,0.0,1000.0,0.0,17722.0,0.0,0.0
CONCHO,5000.0,12350.0,80068.0,22040.0,89006.0,16540.0,123902.0,90730.0,87634.0,41209.0,0.0,0.0,0.0,12534.0,0.0,22886.0
COOKE,226255482.0,566276736.0,263553313.09,293791902.55,68408661.0,26792517.0,1950.0,5594.0,56991.0,19564184.0,56080.0,33893.0,1393949.0,321108.0,26689.0,10696.0
CORYELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTTLE,1274421.0,2000.0,722494.0,619908.0,2081100.0,842514.0,887529.0,0.0,1250.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0
CRANE,21584933.78973306,54299606.42,179143918.46755907,199820560.10725686,103221150.16882184,54954632.23532079,6084788.0,14493830.0,12473356.0,34999884.0,45813432.0,176891025.1,341690285.6,310001507.64,476768682.74214286,416850282.32
CROCKETT,31181876.8,314577672.4399415,1393673673.0748634,2327605707.990775,2579587702.721164,1680040956.574044,805897550.6243013,1277005030.0,434425171.8281698,45815.22973051542,9535461.0,24542536.0,223839264.6913926,350407003.0,451572488.65314907,217896901.79511428
CROSBY,345896.0,2208546.0,2952839.0,3735303.0,4926241.41,2633551.0,3107854.0,1691649.0,358932.0,278625.0,0.0,0.0,71620.0,0.0,129879.0,0.0
CULBERSON,8803197.0,68840874.17714512,104657795.12993,193924351.13022548,486070436.6513111,894677318.1212326,686414036.1067289,1384143461.5052936,2354314326.025952,3064158070.695156,2298200560.57827,1783483804.0,2054163469.58,2834533417.04,3472444267.7224073,1502816813.021402
DALLAM,0.0,0.0,0.0,0.0,0.0,184590.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
DALLAS,71100261.8,38786423.0,12431747.2,12178695.0,32713190.0,0.0,0.0,10976474.0,39700935.0,0.0,3076542.0,0.0,98980915.0,0.0,0.0,116882353.0
DAWSON,10281820.6,35060883.5,51586560.0,65246882.0,118594960.0,111166490.0,27601642.0,100986909.0,1398341.0,84308990.0,57784242.0,124436585.9007962,356307109.0,322618895.4,1835423625.1210418,386241742.0
DE WITT,116555404.001359,702300122.3986583,1316869713.3864028,1384562971.1730037,2638485785.2508307,2742933983.614667,1114594831.2885795,1637009609.2331553,2185041507.1925044,2556787158.64462,1400095405.385031,1766700981.156934,2119935947.42,1465187623.9206777,3193544895.57834,1601504202.8488371
DEAF SMITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENTON,756630713.8,1449080122.0950634,508688729.0,420630162.0,606620273.0,235535825.0,103645247.0,68909724.0,112715022.0,83130196.0,42082853.0,67958248.0,406226317.0,162106335.0,118727220.0,171007672.0
DICKENS,4500.0,4250.0,9600.0,15127.0,9918.0,900.0,2350.0,800.0,3250.0,0.0,300.0,1644.0,0.0,0.0,0.0,0.0
DIMMIT,456122900.4456731,1342111798.370126,2428849331.328007,4298444010.672533,3923272895.524564,3819336482.495335,2126049952.0952716,2656955227.6561193,4586582291.0,2647146051.289323,736052566.4429897,1244190248.0,1711428863.79,2823719294.891721,2443554737.4991717,829761079.0
DONLEY,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUVAL,9905746.0,162818.0,298362.0,135809.0,353100.0,351819.0,34440.0,0.0,125329.0,401300.0,0.0,0.0,433420.0,56640.0,0.0,0.0
EASTLAND,20700.0,22880.0,60626.0,12420.0,69818.0,531135.0,9500.0,108000.0,17500.0,2500.0,1000.0,0.0,5000.0,0.0,0.0,0.0
ECTOR,230592557.3,266781279.53,476498613.04252976,548583303.1283398,571574078.168116,192918866.81663364,110908947.0,206832383.0,269361352.0,526017099.1948625,497769396.10544574,341589609.0,792289840.24,588791189.0,1300025301.4094858,207409681.34843305
EDWARDS,3486414.0,582985.0,557600.0,319952.0,700.0,1000.0,0.0,3678.0,0.0,0.0,0.0,2000.0,1079.0,0.0,0.0,0.0
EL PASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
