County,Year,Gas_Produced_BCF,Liquid_Produced_Million_BBL,Water_Produced_Million_BBL,HF_Water_Billion_GAL,HF_Water_Million_BBL,HF_Water_AcreFeet,Salt_Water_Disposal_Million_BBL
Anderson,2010,4.869434,0.692481,32.220546,0.0,9e-06,0.001197,16.275534
Anderson,2011,4.908092,0.688866,33.648227,0.000145,0.003452,0.444988,11.38289
Anderson,2012,3.726917,0.668396,30.183493,6.7e-05,0.0016,0.206229,9.870448
Anderson,2013,2.943205,0.69483,33.13679,0.000267,0.006364,0.820279,11.936414
Anderson,2014,2.622794,0.72092,33.898593,0.011143,0.265321,34.198098,15.025018
Anderson,2015,2.753874,0.753352,29.138772,0.000679,0.016166,2.083655,11.586439
Anderson,2016,2.607735,0.811106,29.8864,0.000694,0.016529,2.130419,14.252272
Anderson,2017,2.256185,0.774448,28.11716,0.000555,0.01321,1.70273,25.561241
Anderson,2018,2.330355,0.721366,26.72785,5e-06,0.000107,0.01381,25.529486
Anderson,2019,1.964049,0.661778,25.324231,0.0,0.0,0.0,20.109229
Anderson,2020,1.704991,0.580126,21.298629,2e-06,3.6e-05,0.004603,36.328711
Anderson,2021,1.741364,0.520348,19.66567,2e-06,4.8e-05,0.006138,37.991474
Anderson,2022,1.54721,0.522432,21.643578,0.0,0.0,0.0,29.842752
Anderson,2023,1.401031,0.507793,21.30198,0.0,0.0,0.0,18.597648
Anderson,2024,0.991447,0.466563,17.076618,0.0,0.0,0.0,19.332522
Anderson,2025,0.667407,0.222116,8.138664,0.0,0.0,0.0,13.768145
Andrews,2010,1.846423,25.81386,297.267682,0.269509,6.416875,827.090879,65.315496
Andrews,2011,1.358043,28.906165,304.032252,0.453871,10.80646,1392.878134,77.010754
Andrews,2012,0.940279,33.430929,336.655704,0.483952,11.522673,1485.192976,88.655775
Andrews,2013,0.717161,34.632908,352.651507,0.536199,12.766632,1645.530693,95.001041
Andrews,2014,0.63688,37.728633,372.332336,0.697327,16.603024,2140.015199,126.159875
Andrews,2015,0.95502,37.84849,374.726242,0.672056,16.001326,2062.460478,122.788566
Andrews,2016,3.328752,37.200575,379.290682,0.625305,14.888217,1918.988367,112.761121
Andrews,2017,4.277446,37.781136,383.521528,0.999018,23.786148,3065.870312,125.584507
Andrews,2018,5.291183,42.485698,395.970419,1.31297,31.261202,4029.353113,138.578952
Andrews,2019,8.283849,41.296244,396.318606,1.362067,32.430158,4180.023545,132.856584
Andrews,2020,8.277924,43.124029,354.154634,1.764466,42.011106,5414.941522,115.72398
Andrews,2021,7.1104,44.816221,327.30403,1.932309,46.00735,5930.029895,130.514088
Andrews,2022,7.069133,48.297889,330.212438,3.017198,71.83805,9259.428749,153.702601
Andrews,2023,11.853694,60.312535,321.461477,3.01873,71.874523,9264.129934,150.352194
Andrews,2024,11.039314,60.268522,305.08633,3.359807,79.995395,10310.854229,160.19387
Andrews,2025,10.123403,36.815399,158.455288,2.167574,51.608899,6652.030845,136.943515
Angelina,2010,10.680872,0.013899,1.202264,0.004113,0.097922,12.621476,1.907646
Angelina,2011,7.826748,0.008731,1.415522,0.00012,0.002857,0.368266,1.624129
Angelina,2012,11.170235,0.006351,1.858904,0.010409,0.247837,31.944539,1.422002
Angelina,2013,9.037231,0.006312,1.406498,0.003919,0.093321,12.028374,1.212779
Angelina,2014,5.756904,0.004842,0.901241,0.0,0.0,0.0,1.072
Angelina,2015,4.868751,0.004425,1.324844,0.01122,0.267154,34.434254,1.00179
Angelina,2016,6.393295,0.006502,1.028878,0.000469,0.011157,1.438122,0.95865
Angelina,2017,16.066055,0.005675,0.657129,0.0585,1.39285,179.52873,0.630797
Angelina,2018,49.473859,0.004862,1.398676,0.191163,4.551498,586.656706,0.55967
Angelina,2019,96.091446,0.004088,3.2081,0.144538,3.441386,443.570851,0.67132
Angelina,2020,83.332532,0.002687,2.523803,0.011538,0.274706,35.407707,2.166982
Angelina,2021,37.216883,0.002895,1.107688,0.068891,1.640267,211.419156,1.856639
Angelina,2022,66.587577,0.002977,0.858879,0.372347,8.865407,1142.689729,2.0363
Angelina,2023,94.967364,0.003457,0.998498,0.372332,8.865059,1142.644972,2.89207
Angelina,2024,105.47473,0.003091,0.88243,0.538023,12.810066,1651.129024,3.455476
Angelina,2025,92.270329,0.002442,0.381529,0.0,0.0,0.0,2.974223
Aransas,2010,3.941098,0.124219,0.197115,0.000105,0.002498,0.321928,0.713015
Aransas,2011,3.121621,0.096984,0.217079,0.0,0.0,0.0,0.267739
Aransas,2012,3.146459,0.113829,0.280825,0.0,0.0,0.0,0.237886
Aransas,2013,3.905588,0.126298,0.179675,0.000268,0.006383,0.822725,0.390664
Aransas,2014,8.824548,0.251306,0.299836,0.00037,0.008811,1.135732,0.522252
Aransas,2015,11.538954,0.293659,0.221884,0.000428,0.010182,1.312389,0.536776
Aransas,2016,7.327917,0.247179,0.304677,0.000289,0.00689,0.888014,0.583509
Aransas,2017,5.293061,0.189296,0.153385,6.1e-05,0.001445,0.186186,0.304918
Aransas,2018,4.032254,0.114567,0.163653,0.0,0.0,0.0,0.306051
Aransas,2019,2.480471,0.073058,0.11093,7e-05,0.00167,0.215302,0.201644
Aransas,2020,2.145272,0.085484,0.10245,0.0,0.0,0.0,0.284119
Aransas,2021,1.932286,0.084959,0.187682,0.0,0.0,0.0,0.254095
Aransas,2022,1.490514,0.053101,0.089615,0.0,0.0,0.0,0.180043
Aransas,2023,1.234491,0.037322,0.150829,0.0,0.0,0.0,0.196543
Aransas,2024,1.381313,0.025084,0.085856,0.0,0.0,0.0,0.176894
Aransas,2025,1.090609,0.024297,0.035194,0.0,0.0,0.0,0.045872
Archer,2010,0.017057,1.046358,14.574591,0.000305,0.007254,0.93501,3.958406
Archer,2011,0.016,1.111016,17.365209,0.002621,0.0624,8.042896,3.761024
Archer,2012,0.013915,1.164108,18.655314,0.002279,0.054259,6.993595,3.954948
Archer,2013,0.010413,1.269833,20.268597,0.002546,0.060614,7.812741,4.401025
Archer,2014,0.009439,1.303048,23.066242,0.001233,0.029361,3.784433,4.729907
Archer,2015,0.018844,1.150037,20.155416,0.000432,0.010276,1.324563,4.023301
Archer,2016,0.021664,1.005271,18.156199,7.4e-05,0.001755,0.226238,4.345125
Archer,2017,0.018307,0.933945,17.336432,0.000173,0.00411,0.529729,3.939223
Archer,2018,0.0157,0.898928,18.425029,0.000622,0.014815,1.90953,3.887868
Archer,2019,0.016047,0.8852,18.637165,0.000121,0.00289,0.372556,3.419531
Archer,2020,0.013865,0.759377,15.511123,4.2e-05,0.000999,0.128769,3.174001
Archer,2021,0.015003,0.737214,16.122863,0.000271,0.006447,0.830941,3.164447
Archer,2022,0.012429,0.746342,13.902436,0.000417,0.009928,1.279682,3.057713
Archer,2023,0.013047,0.796411,12.845016,0.00077,0.018339,2.363746,7.668308
Archer,2024,0.012128,0.845063,12.078515,0.000555,0.013209,1.702573,7.554498
