County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ANDERSON,23256950.0,18530474.0,15351380.0,17309720.0,21183049.0,15361463.0,17343215.0,29473539.0,29951855.0,24196791.0,38609287.0,39575411.0,31736704.0,20869207.0,21326268.0,13324376.0
ANDREWS,341543955.0,349216304.0,356084973.0,403259511.0,461675685.0,458038104.0,472446211.0,493116498.0,502092493.0,472422851.0,382634959.0,372089138.0,381798670.0,366042685.0,330195083.0,229636725.0
ANGELINA,1907646.0,1624129.0,1422002.0,1212779.0,1072000.0,1001790.0,958650.0,630797.0,559670.0,671320.0,2166982.0,1856639.0,2036300.0,2892070.0,3461725.0,2670351.0
ARANSAS,713015.0,267739.0,237886.0,390664.0,522252.0,536776.0,583509.0,321454.0,333935.0,231774.0,315599.0,279440.0,182193.0,215393.0,203571.0,148282.0
ARCHER,15849454.0,16202119.0,17272830.0,17907198.0,18974025.0,19183900.0,20996322.0,19347618.0,14549362.0,14165643.0,13108977.0,13219924.0,13304454.0,17993715.0,18018680.0,12415219.0
ARMSTRONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATASCOSA,8533171.0,7814863.0,9857209.0,18312785.0,30691972.0,25528392.0,18209181.0,18360156.0,24512769.0,26713832.0,22555190.0,22771244.0,25442953.0,33027411.0,31430039.0,22825842.0
AUSTIN,4811415.0,5512552.0,5949264.0,5525406.0,4837378.0,4651905.0,4123650.0,4199910.0,4269025.0,4332725.0,3782812.0,4104583.0,4051326.0,3207472.0,2709632.0,2094658.0
BAILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASTROP,246027.0,289552.0,329861.0,346678.0,410357.0,502695.0,513822.0,507251.0,539893.0,508678.0,549525.0,256775.0,505513.0,539575.0,519722.0,382746.0
BAYLOR,1658300.0,2613479.0,2772152.0,2817383.0,2678256.0,2207051.0,1975318.0,1827831.0,1797097.0,1773360.0,1980056.0,1728996.0,2081337.0,2048192.0,2793336.0,2606677.0
BEE,4656124.0,4993994.0,5207065.0,3729328.0,3507943.0,3149702.0,2135488.0,2075704.0,2016737.0,1245360.0,1475184.0,1510900.0,1686583.0,2301401.0,2923406.0,2236405.0
BELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEXAR,8315.0,9187.0,17930.0,24589.0,21882.0,16430.0,11417.0,11603.0,11612.0,11180.0,11008.0,5255.0,4865.0,12587.0,8408.0,5733.0
BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORDEN,40869301.0,40552026.0,40455917.0,38172872.0,39953918.0,41753772.0,38983714.0,36278890.0,36862913.0,34482750.0,32510164.0,32743475.0,33337623.0,38216952.0,47893719.0,39422526.0
BOSQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOWIE,333212.0,278685.0,340325.0,396385.0,371574.0,315446.0,324002.0,243050.0,343245.0,369562.0,488172.0,362034.0,283909.0,241346.0,241179.0,198428.0
BRAZORIA,114411597.0,85988253.0,86764898.0,72411930.0,72694585.0,112609645.0,94809354.0,64857407.0,64981008.0,100954159.0,61624612.0,41276667.0,36655192.0,40578342.0,33297233.0,24210186.0
BRAZOS,5172827.0,4818099.0,3696724.0,5484638.0,7829796.0,6192189.0,4317775.0,4770857.0,8519649.0,11090354.0,7251758.0,6303361.0,9938875.0,8148591.0,5672691.0,2426367.0
BREWSTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRISCOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROOKS,2117287.0,1896748.0,1875960.0,1799202.0,2239953.0,2135621.0,1767301.0,1014352.0,902230.0,693493.0,614445.0,576714.0,821427.0,890993.0,1054075.0,810754.0
BROWN,1248781.0,1024837.0,1027735.0,912507.0,1074213.0,1046654.0,952322.0,882212.0,849746.0,843844.0,802361.0,733868.0,731184.0,567682.0,522234.0,452785.0
BURLESON,7588997.0,7367948.0,7277853.0,6621835.0,8710374.0,9028468.0,7103769.0,9331298.0,12965053.0,13951566.0,10194790.0,7936322.0,7473168.0,5750575.0,5265418.0,5060610.0
BURNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALDWELL,137884480.0,155586454.0,164485326.0,181154397.0,197951040.0,213318232.0,220930111.0,204569675.0,202323189.0,204006725.0,182362035.0,182305004.0,194398137.0,202294542.0,201658925.0,150801651.0
