STATE,Year,Gas_Produced_BCF,Liquid_Produced_Million_BBL,Water_Produced_Million_BBL,HF_Water_Billion_GAL,HF_Water_Million_BBL,HF_Water_AcreFeet,Salt_Water_Disposal_Million_BBL
TX,2010,6677.385308,423.037752,6048.745129,15.868834,377.829221,48699.577695,3222.102895
TX,2011,6950.454374,527.878941,6688.625108,28.24396,672.475285,86677.422043,3333.425361
TX,2012,6919.799151,723.9965559999999,7033.675296,34.752147,827.432109,106650.287602,3490.820547
TX,2013,6737.0847619999995,928.305109,7142.820325,42.775296,1018.459471,131272.395362,3695.11201
TX,2014,6668.324433,1160.905157,7518.687683,58.857993,1401.3808900000001,180628.323901,4093.189065
TX,2015,6465.076326,1262.443018,7749.171272,46.796877,1114.21133,143614.1494,4261.661064
TX,2016,5832.995368,1172.0724030000001,6796.170185,41.934539,998.441381,128692.201993,3970.918407
TX,2017,5528.092549,1278.131589,7278.820178,77.095267,1835.60151,236596.36388,4430.4986
TX,2018,5997.368289,1611.958681,8435.439352,109.484071,2606.763629,335993.839112,5477.412146
TX,2019,6684.481329,1857.978531,9103.107146,118.359815,2818.090765,363232.448012,6318.960439
TX,2020,6429.029703,1770.818756,8601.696535,61.589349,1466.413102,189010.526907,6024.327557
TX,2021,6575.715206,1747.227316,8459.017861,88.221376,2100.508981,270741.109132,6108.700059
TX,2022,7101.123542,1876.2657769999998,9222.588708,115.322462,2745.772806,353911.16164,6762.010526
TX,2023,7558.1225030000005,2014.79556,10238.642892,128.161664,3051.468092,393313.174205,7361.663758
TX,2024,7522.5273640000005,2082.987986,10163.862286,124.686078,2968.716182,382647.024096,7721.455584
TX,2025,4720.233389999999,1192.906255,6849.695707,70.24244,1672.439095,215565.854956,6467.768497999999
